rank,variant_name,subset_size,subset_dets,score,target_sim_mean,attach_margin_mean,subset_cameras,subset_videos,reason
1,top64_target_sim,64,15059,0.49984821203830976,0.4669616585597396,-0.20079965563490987,"{""MCAM03"": 16, ""MCAM04"": 43, ""MCAM06"": 1, ""MCAM08"": 4}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 2, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 14, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 43, ""vlincs_MS01_MC0001_MCAM06_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6"": 4}",top 64 source tracklets by target-centroid similarity
2,top55_target_sim,55,13084,0.49668076778901704,0.48090185848149386,-0.2031783559105613,"{""MCAM03"": 14, ""MCAM04"": 39, ""MCAM08"": 2}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 2, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 12, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 39, ""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6"": 2}",top 55 source tracklets by target-centroid similarity
3,sideeffect_positive_videos_mcam04tc6_mcam03tc8,59,14174,0.49266029407947565,0.4674356610088025,-0.21476746969303842,"{""MCAM03"": 14, ""MCAM04"": 45}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 14, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 45}",post-hoc reviewer side-effect label: keep videos that gained in full p005
4,exclude_loss_videos_mcam03tc6_mcam08tc6,61,14333,0.492644912772981,0.46265944838523865,-0.21258908412495597,"{""MCAM00"": 1, ""MCAM03"": 14, ""MCAM04"": 45, ""MCAM06"": 1}","{""vlincs_MS01_MC0001_MCAM00_2024-03-Tc8"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 14, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 45, ""vlincs_MS01_MC0001_MCAM06_2024-03-Tc6"": 1}",post-hoc reviewer side-effect label: exclude videos that dropped in full p005
5,top45_target_sim,45,10932,0.48887671412043066,0.49344289236598543,-0.21165975795851813,"{""MCAM03"": 8, ""MCAM04"": 36, ""MCAM08"": 1}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 2, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 6, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 36, ""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6"": 1}",top 45 source tracklets by target-centroid similarity
6,top36_target_sim,36,8862,0.4800432618126995,0.5060392303599252,-0.21837180687321556,"{""MCAM03"": 3, ""MCAM04"": 33}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 2, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 33}",top 36 source tracklets by target-centroid similarity
7,camera_MCAM04,45,11199,0.47916136008303667,0.47697919805844624,-0.22486571139759487,"{""MCAM04"": 45}","{""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 45}",only source tracklets from camera MCAM04
8,top28_target_sim,28,6949,0.46818863390325455,0.517481093960149,-0.22919188333409174,"{""MCAM03"": 2, ""MCAM04"": 26}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 1, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 26}",top 28 source tracklets by target-centroid similarity
9,top20_target_sim,20,4776,0.4536668400897792,0.5269047319889069,-0.22104132175445557,"{""MCAM03"": 1, ""MCAM04"": 19}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 19}",top 20 source tracklets by target-centroid similarity
10,top16_target_sim,16,3914,0.44219223032988164,0.5317812822759151,-0.22585520893335342,"{""MCAM04"": 16}","{""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 16}",top 16 source tracklets by target-centroid similarity
