rank,variant_name,subset_size,subset_dets,score,target_sim_mean,attach_margin_mean,subset_cameras,subset_videos,reason
1,sideeffect_positive_videos_mcam04tc6_mcam03tc8,59,14174,0.49266029407947565,0.4674356610088025,-0.21476746969303842,"{""MCAM03"": 14, ""MCAM04"": 45}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 14, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 45}",post-hoc reviewer side-effect label: keep videos that gained in full p005
2,exclude_loss_videos_mcam03tc6_mcam08tc6,61,14333,0.492644912772981,0.46265944838523865,-0.21258908412495597,"{""MCAM00"": 1, ""MCAM03"": 14, ""MCAM04"": 45, ""MCAM06"": 1}","{""vlincs_MS01_MC0001_MCAM00_2024-03-Tc8"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 14, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 45, ""vlincs_MS01_MC0001_MCAM06_2024-03-Tc6"": 1}",post-hoc reviewer side-effect label: exclude videos that dropped in full p005
3,top36_target_sim,36,8862,0.4800432618126995,0.5060392303599252,-0.21837180687321556,"{""MCAM03"": 3, ""MCAM04"": 33}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 2, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 33}",top 36 source tracklets by target-centroid similarity
4,camera_MCAM04,45,11199,0.47916136008303667,0.47697919805844624,-0.22486571139759487,"{""MCAM04"": 45}","{""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 45}",only source tracklets from camera MCAM04
5,top34_target_sim,34,8262,0.47732262463733227,0.5090644561192569,-0.2208428707192926,"{""MCAM03"": 3, ""MCAM04"": 31}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 2, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 31}",top 34 source tracklets by target-centroid similarity
6,top32_target_sim,32,7796,0.4731161390538121,0.5121409790590405,-0.23092395905405283,"{""MCAM03"": 3, ""MCAM04"": 29}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 2, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 29}",top 32 source tracklets by target-centroid similarity
7,top30_target_sim,30,7488,0.47067451354136747,0.5147521038850148,-0.23149747848510743,"{""MCAM03"": 2, ""MCAM04"": 28}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 1, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 28}",top 30 source tracklets by target-centroid similarity
8,top28_target_sim,28,6949,0.46818863390325455,0.517481093960149,-0.22919188333409174,"{""MCAM03"": 2, ""MCAM04"": 26}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 1, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 26}",top 28 source tracklets by target-centroid similarity
9,top26_target_sim,26,6350,0.4645012425889549,0.5199666241040597,-0.2301539102425942,"{""MCAM03"": 2, ""MCAM04"": 24}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 1, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 24}",top 26 source tracklets by target-centroid similarity
10,top24_target_sim,24,5754,0.4613195099128966,0.5222312062978745,-0.22621221840381622,"{""MCAM03"": 2, ""MCAM04"": 22}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 1, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 22}",top 24 source tracklets by target-centroid similarity
11,top22_target_sim,22,5362,0.4577186969405937,0.5245368751612577,-0.22488784790039062,"{""MCAM03"": 1, ""MCAM04"": 21}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1, ""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6"": 21}",top 22 source tracklets by target-centroid similarity
12,camera_MCAM03,17,3597,0.41348819082402,0.4346949668491588,-0.1585320234298706,"{""MCAM03"": 17}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 3, ""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 14}",only source tracklets from camera MCAM03
13,video_MCAM03_Tc8,14,2975,0.3984479543699791,0.43676000620637623,-0.18230883564267839,"{""MCAM03"": 14}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8"": 14}",only source tracklets from video vlincs_MS01_MC0001_MCAM03_2024-03-Tc8
14,video_MCAM03_Tc6,3,622,0.3362272649137842,0.4250581165154775,-0.04757356643676758,"{""MCAM03"": 3}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 3}",only source tracklets from video vlincs_MS01_MC0001_MCAM03_2024-03-Tc6
15,positive_attach_margin,1,240,0.33615318681210044,0.5031274557113647,0.0053855180740356445,"{""MCAM03"": 1}","{""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6"": 1}",move only rows whose target similarity exceeds source-centroid similarity
16,camera_MCAM08,5,889,0.33137167875949086,0.3784380376338959,-0.08711748123168946,"{""MCAM08"": 5}","{""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6"": 5}",only source tracklets from camera MCAM08
17,camera_MCAM06,1,92,0.2429868073270564,0.3825085461139679,-0.12304988503456116,"{""MCAM06"": 1}","{""vlincs_MS01_MC0001_MCAM06_2024-03-Tc6"": 1}",only source tracklets from camera MCAM06
18,camera_MCAM00,1,67,0.1738628961715415,0.26101380586624146,-0.17360353469848633,"{""MCAM00"": 1}","{""vlincs_MS01_MC0001_MCAM00_2024-03-Tc8"": 1}",only source tracklets from camera MCAM00
