seq,tracklet_key,video,camera,start_frame,end_frame,n_dets,avg_conf,predicted_global_id,component_label,component_size,prediction_confidence,decision_status,component_internal_edges,component_internal_prob_median,component_internal_score_median,component_external_prob_max,component_margin_prob
1,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:100:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30042,30341,300,0.91816,96000000,0,200,0.7,forced_component,0,0.0,0.0,0.0,0.0
2,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:101:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30139,30438,300,0.913847,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
3,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:102:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30149,30229,52,0.762483,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
4,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:103:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30257,30446,188,0.860666,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
5,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:104:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30272,30571,300,0.524213,96000003,3,250,0.7,forced_component,0,0.0,0.0,0.0,0.0
6,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:105:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30282,30336,46,0.849022,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
7,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:106:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30291,30590,300,0.739784,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
8,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:107:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30321,30620,249,0.838139,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
9,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:108:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30342,30641,300,0.877257,96000000,0,200,0.7,forced_component,0,0.0,0.0,0.0,0.0
10,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:109:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30393,30502,67,0.803569,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
11,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:10:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,27577,27839,221,0.741086,96002329,78,168,0.7,forced_component,0,0.0,0.0,0.0,0.0
12,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:110:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30427,30726,269,0.860385,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
13,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:111:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30439,30738,300,0.889281,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
14,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:112:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30572,30871,300,0.560911,96000003,3,250,0.7,forced_component,0,0.0,0.0,0.0,0.0
15,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:113:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30591,30829,239,0.750789,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
16,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:114:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30621,30920,300,0.85561,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
17,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:115:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30642,30941,300,0.765139,96000000,0,200,0.7,forced_component,0,0.0,0.0,0.0,0.0
18,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:116:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30686,30719,31,0.781824,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
20,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:118:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30727,30808,77,0.884466,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
21,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:119:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30739,31038,300,0.907638,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
22,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:11:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,27605,27848,241,0.768778,96000007,6,216,0.7,forced_component,0,0.0,0.0,0.0,0.0
23,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:120:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30758,31018,223,0.783747,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
24,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:121:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30819,31118,293,0.654176,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
25,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:122:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30872,31171,300,0.675053,96000003,3,250,0.7,forced_component,0,0.0,0.0,0.0,0.0
26,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:123:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30921,31220,250,0.828538,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
27,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:124:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30942,31241,281,0.693732,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
28,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:125:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,30967,31266,296,0.764285,96000000,0,200,0.7,forced_component,0,0.0,0.0,0.0,0.0
29,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:126:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31039,31338,300,0.905158,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
30,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:127:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31053,31222,97,0.462923,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
31,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:128:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31097,31285,118,0.760988,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
32,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:129:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31119,31418,300,0.683506,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
33,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:12:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,27715,27779,58,0.774513,96000008,7,167,0.7,forced_component,0,0.0,0.0,0.0,0.0
34,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:130:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31172,31471,300,0.696145,96000003,3,250,0.7,forced_component,0,0.0,0.0,0.0,0.0
35,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:131:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31221,31520,278,0.884037,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
36,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:132:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31242,31541,300,0.871359,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
37,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:133:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31267,31270,4,0.824008,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
38,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:134:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31267,31566,300,0.807371,96000000,0,200,0.7,forced_component,0,0.0,0.0,0.0,0.0
39,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:135:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31339,31638,300,0.908301,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
40,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:136:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31419,31718,300,0.668671,96000005,5,235,0.7,forced_component,0,0.0,0.0,0.0,0.0
42,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:138:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31472,31771,300,0.672737,96000003,3,250,0.7,forced_component,0,0.0,0.0,0.0,0.0
43,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:139:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31521,31742,176,0.794611,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
45,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:140:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31525,31583,41,0.700232,96000004,4,192,0.7,forced_component,0,0.0,0.0,0.0,0.0
46,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:141:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31542,31644,77,0.752722,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
47,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:142:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31546,31566,20,0.48724,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
48,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:143:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31567,31620,50,0.755256,96000009,8,75,0.7,forced_component,0,0.0,0.0,0.0,0.0
50,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:145:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31614,31807,149,0.816755,96000002,2,233,0.7,forced_component,0,0.0,0.0,0.0,0.0
51,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:146:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31638,31937,284,0.667762,96000009,8,75,0.7,forced_component,0,0.0,0.0,0.0,0.0
52,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6:147:0,vlincs_MS01_MC0001_MCAM00_2024-03-Tc6,MCAM00,31639,31938,300,0.900473,96000001,1,185,0.7,forced_component,0,0.0,0.0,0.0,0.0
